     tim; pos; vol; res; tur; rat; amp; pow; eAd; eFl; sMs; sKh; 
    0.37; 1; 725; 4.456; 2.759; 0.765; 124.467; 90238.575; 1087.31; 28029.848; 1.294; 4.658; 
    0.38; 1; 725; 4.456; 2.814; 0.762; 123.979; 89884.775; 1081.413; 29111.261; 1.318; 4.745; 
    0.40; 1; 725; 4.456; 2.868; 0.758; 123.328; 89412.8; 1073.547; 30184.808; 1.342; 4.831; 
    0.42; 1; 725; 4.456; 2.92; 0.755; 122.84; 89059.0; 1067.65; 31252.458; 1.366; 4.918; 
    0.43; 1; 725; 4.456; 2.971; 0.752; 122.352; 88705.2; 1061.753; 32314.211; 1.389; 5.0; 
    0.45; 1; 725; 4.456; 3.021; 0.749; 121.864; 88351.4; 1055.857; 33370.068; 1.411; 5.08; 
    0.47; 1; 725; 4.456; 3.07; 0.746; 121.376; 87997.6; 1049.96; 34420.028; 1.434; 5.162; 
    0.48; 1; 725; 4.456; 3.118; 0.743; 120.888; 87643.8; 1044.063; 35464.091; 1.455; 5.238; 
    0.50; 1; 725; 4.456; 3.165; 0.74; 120.399; 87289.275; 1038.155; 36502.246; 1.476; 5.314; 
    0.52; 1; 725; 4.456; 3.211; 0.737; 119.911; 86935.475; 1032.258; 37534.504; 1.497; 5.389; 
    0.53; 1; 725; 4.456; 3.256; 0.734; 119.423; 86581.675; 1026.361; 38560.865; 1.517; 5.461; 
    0.55; 1; 725; 4.456; 3.3; 0.732; 119.098; 86346.05; 1022.434; 39583.299; 1.537; 5.533; 
    0.57; 1; 725; 4.456; 3.344; 0.729; 118.61; 85992.25; 1016.538; 40599.837; 1.557; 5.605; 
    0.58; 1; 725; 4.456; 3.386; 0.727; 118.284; 85755.9; 1012.598; 41612.435; 1.576; 5.674; 
    0.60; 1; 725; 4.456; 3.428; 0.724; 117.796; 85402.1; 1006.702; 42619.137; 1.595; 5.742; 
    0.62; 1; 725; 4.456; 3.47; 0.722; 117.471; 85166.475; 1002.775; 43621.912; 1.614; 5.81; 
    0.63; 1; 725; 4.456; 3.51; 0.719; 116.983; 84812.675; 996.878; 44618.79; 1.632; 5.875; 
    0.65; 1; 725; 4.456; 3.55; 0.717; 116.657; 84576.325; 992.939; 45611.729; 1.65; 5.94; 
    0.67; 1; 725; 4.456; 3.589; 0.715; 116.332; 84340.7; 989.012; 46600.741; 1.668; 6.005; 
    0.68; 1; 725; 4.456; 3.628; 0.713; 116.007; 84105.075; 985.085; 47585.826; 1.686; 6.07; 
    0.70; 1; 725; 4.456; 3.666; 0.711; 115.681; 83868.725; 981.145; 48566.971; 1.703; 6.131; 
    0.72; 1; 725; 4.456; 3.704; 0.708; 115.193; 83514.925; 975.249; 49542.22; 1.72; 6.192; 
    0.73; 1; 725; 4.456; 3.741; 0.706; 114.868; 83279.3; 971.322; 50513.542; 1.737; 6.253; 
    0.75; 1; 725; 4.456; 3.777; 0.704; 114.542; 83042.95; 967.382; 51480.924; 1.753; 6.311; 
    0.77; 1; 725; 4.456; 3.813; 0.702; 114.217; 82807.325; 963.455; 52444.379; 1.769; 6.368; 
    0.78; 1; 725; 4.456; 3.849; 0.7; 113.891; 82570.975; 959.516; 53403.895; 1.786; 6.43; 
    0.80; 1; 725; 4.456; 3.884; 0.699; 113.729; 82453.525; 957.559; 54361.454; 1.802; 6.487; 
    0.82; 1; 725; 4.456; 3.919; 0.697; 113.403; 82217.175; 953.62; 55315.074; 1.817; 6.541; 
    0.83; 1; 725; 4.456; 3.953; 0.695; 113.078; 81981.55; 949.692; 56264.766; 1.833; 6.599; 
    0.85; 1; 725; 4.456; 3.987; 0.693; 112.752; 81745.2; 945.753; 57210.519; 1.848; 6.653; 
    0.87; 1; 725; 4.456; 4.02; 0.691; 112.427; 81509.575; 941.826; 58152.345; 1.863; 6.707; 
    0.88; 1; 725; 4.456; 4.053; 0.689; 112.102; 81273.95; 937.899; 59090.244; 1.878; 6.761; 
    0.90; 1; 725; 4.456; 4.085; 0.688; 111.939; 81155.775; 935.93; 60026.174; 1.893; 6.815; 
    0.92; 1; 725; 4.456; 4.118; 0.686; 111.614; 80920.15; 932.002; 60958.176; 1.908; 6.869; 
    0.93; 1; 725; 4.456; 4.149; 0.684; 111.288; 80683.8; 928.063; 61886.239; 1.922; 6.919; 
    0.95; 1; 725; 4.456; 4.181; 0.683; 111.125; 80565.625; 926.094; 62812.333; 1.936; 6.97; 
    0.97; 1; 725; 4.456; 4.212; 0.681; 110.8; 80330.0; 922.167; 63734.5; 1.951; 7.024; 
    0.98; 1; 725; 4.456; 4.243; 0.68; 110.637; 80211.825; 920.197; 64654.697; 1.965; 7.074; 
    1.00; 1; 725; 4.456; 4.273; 0.678; 110.312; 79976.2; 916.27; 65570.967; 1.979; 7.124; 
    1.02; 1; 725; 4.456; 4.304; 0.676; 109.987; 79740.575; 912.343; 66483.31; 1.992; 7.171; 
    1.03; 1; 725; 4.456; 4.333; 0.675; 109.824; 79622.4; 910.373; 67393.683; 2.006; 7.222; 
    1.05; 1; 725; 4.456; 4.363; 0.674; 109.661; 79504.225; 908.404; 68302.087; 2.019; 7.268; 
    1.07; 1; 725; 4.456; 4.392; 0.672; 109.336; 79268.6; 904.477; 69206.564; 2.033; 7.319; 
    1.08; 1; 725; 4.456; 4.421; 0.671; 109.173; 79150.425; 902.507; 70109.071; 2.046; 7.366; 
    1.10; 1; 725; 4.456; 4.45; 0.669; 108.848; 78914.8; 898.58; 71007.651; 2.059; 7.412; 
    1.12; 1; 725; 4.456; 4.478; 0.668; 108.685; 78796.625; 896.61; 71904.261; 2.072; 7.459; 
    1.13; 1; 725; 4.456; 4.507; 0.666; 108.36; 78561.0; 892.683; 72796.944; 2.085; 7.506; 
    1.15; 1; 725; 4.456; 4.535; 0.665; 108.197; 78442.825; 890.714; 73687.658; 2.097; 7.549; 
    1.17; 1; 725; 4.456; 4.562; 0.664; 108.034; 78324.65; 888.744; 74576.402; 2.11; 7.596; 
    1.18; 1; 725; 4.456; 4.59; 0.662; 107.709; 78089.025; 884.817; 75461.219; 2.123; 7.643; 
    1.20; 1; 725; 4.456; 4.617; 0.661; 107.546; 77970.85; 882.848; 76344.067; 2.135; 7.686; 
    1.22; 1; 725; 4.456; 4.644; 0.66; 107.383; 77852.675; 880.878; 77224.945; 2.147; 7.729; 
    1.23; 1; 725; 4.456; 4.67; 0.658; 107.058; 77617.05; 876.951; 78101.896; 2.159; 7.772; 
    1.25; 1; 725; 4.456; 4.697; 0.657; 106.895; 77498.875; 874.981; 78976.877; 2.171; 7.816; 
    1.27; 1; 725; 4.456; 4.723; 0.656; 106.732; 77380.7; 873.012; 79849.889; 2.183; 7.859; 
    1.28; 1; 725; 4.456; 4.749; 0.655; 106.57; 77263.25; 871.054; 80720.943; 2.195; 7.902; 
    1.30; 1; 725; 4.456; 4.775; 0.653; 106.244; 77026.9; 867.115; 81588.058; 2.207; 7.945; 
    1.32; 1; 725; 4.456; 4.801; 0.652; 106.082; 76909.45; 865.157; 82453.215; 2.219; 7.988; 
    1.33; 1; 725; 4.456; 4.826; 0.651; 105.919; 76791.275; 863.188; 83316.403; 2.23; 8.028; 
    1.35; 1; 725; 4.456; 4.851; 0.65; 105.756; 76673.1; 861.218; 84177.621; 2.242; 8.071; 
    1.37; 1; 725; 4.456; 4.876; 0.649; 105.594; 76555.65; 859.261; 85036.882; 2.253; 8.111; 
    1.38; 1; 725; 4.456; 4.901; 0.647; 105.268; 76319.3; 855.322; 85892.204; 2.264; 8.15; 
    1.40; 1; 725; 4.456; 4.926; 0.646; 105.105; 76201.125; 853.352; 86745.556; 2.276; 8.194; 
    1.42; 1; 725; 4.456; 4.95; 0.645; 104.943; 76083.675; 851.395; 87596.951; 2.287; 8.233; 
    1.43; 1; 725; 4.456; 4.974; 0.644; 104.78; 75965.5; 849.425; 88446.376; 2.298; 8.273; 
    1.45; 1; 725; 4.456; 4.998; 0.643; 104.617; 75847.325; 847.455; 89293.831; 2.309; 8.312; 
    1.47; 1; 725; 4.456; 5.022; 0.642; 104.455; 75729.875; 845.498; 90139.329; 2.32; 8.352; 
    1.48; 1; 725; 4.456; 5.046; 0.641; 104.292; 75611.7; 843.528; 90982.857; 2.331; 8.392; 
    1.50; 1; 725; 4.456; 5.069; 0.64; 104.129; 75493.525; 841.559; 91824.416; 2.341; 8.428; 
    1.52; 1; 725; 4.456; 5.093; 0.639; 103.967; 75376.075; 839.601; 92664.017; 2.352; 8.467; 
    1.53; 1; 725; 4.456; 5.116; 0.638; 103.804; 75257.9; 837.632; 93501.649; 2.363; 8.507; 
    1.55; 1; 725; 4.456; 5.139; 0.637; 103.641; 75139.725; 835.662; 94337.311; 2.373; 8.543; 
    1.57; 1; 725; 4.456; 5.162; 0.636; 103.478; 75021.55; 833.692; 95171.003; 2.384; 8.582; 
    1.58; 1; 725; 4.456; 5.185; 0.634; 103.153; 74785.925; 829.765; 96000.768; 2.394; 8.618; 
    1.60; 1; 725; 4.456; 5.207; 0.633; 102.99; 74667.75; 827.796; 96828.564; 2.404; 8.654; 
    1.62; 1; 725; 4.456; 5.23; 0.632; 102.828; 74550.3; 825.838; 97654.402; 2.415; 8.694; 
    1.63; 1; 725; 4.456; 5.252; 0.631; 102.665; 74432.125; 823.869; 98478.271; 2.425; 8.73; 
    1.65; 1; 725; 4.456; 5.274; 0.631; 102.665; 74432.125; 823.869; 99302.14; 2.435; 8.766; 
    1.67; 1; 725; 4.456; 5.296; 0.63; 102.502; 74313.95; 821.899; 100124.039; 2.445; 8.802; 
    1.68; 1; 725; 4.456; 5.318; 0.629; 102.34; 74196.5; 819.942; 100943.981; 2.455; 8.838; 
    1.70; 1; 725; 4.456; 5.34; 0.628; 102.177; 74078.325; 817.972; 101761.953; 2.465; 8.874; 
    1.72; 1; 725; 4.456; 5.361; 0.627; 102.014; 73960.15; 816.002; 102577.955; 2.475; 8.91; 
    1.73; 1; 725; 4.456; 5.383; 0.626; 101.851; 73841.975; 814.033; 103391.988; 2.484; 8.942; 
    1.75; 1; 725; 4.456; 5.404; 0.625; 101.689; 73724.525; 812.075; 104204.063; 2.494; 8.978; 
    1.77; 1; 725; 4.456; 5.425; 0.624; 101.526; 73606.35; 810.106; 105014.169; 2.504; 9.014; 
    1.78; 1; 725; 4.456; 5.446; 0.623; 101.363; 73488.175; 808.136; 105822.305; 2.514; 9.05; 
    1.80; 1; 725; 4.456; 5.467; 0.622; 101.201; 73370.725; 806.179; 106628.484; 2.523; 9.083; 
    1.82; 1; 725; 4.456; 5.488; 0.621; 101.038; 73252.55; 804.209; 107432.693; 2.533; 9.119; 
    1.83; 1; 725; 4.456; 5.509; 0.62; 100.875; 73134.375; 802.24; 108234.933; 2.542; 9.151; 
    1.85; 1; 725; 4.456; 5.529; 0.619; 100.713; 73016.925; 800.282; 109035.215; 2.551; 9.184; 
    1.87; 1; 725; 4.456; 5.55; 0.619; 100.713; 73016.925; 800.282; 109835.497; 2.561; 9.22; 
    1.88; 1; 725; 4.456; 5.57; 0.618; 100.55; 72898.75; 798.312; 110633.809; 2.57; 9.252; 
    1.90; 1; 725; 4.456; 5.59; 0.617; 100.387; 72780.575; 796.343; 111430.152; 2.579; 9.284; 
    1.92; 1; 725; 4.456; 5.61; 0.616; 100.224; 72662.4; 794.373; 112224.525; 2.588; 9.317; 
    1.93; 1; 725; 4.456; 5.63; 0.615; 100.062; 72544.95; 792.416; 113016.941; 2.598; 9.353; 
    1.95; 1; 725; 4.456; 5.65; 0.614; 99.899; 72426.775; 790.446; 113807.387; 2.607; 9.385; 
    1.97; 1; 725; 4.456; 5.67; 0.613; 99.736; 72308.6; 788.477; 114595.864; 2.616; 9.418; 
    1.98; 1; 725; 4.456; 5.689; 0.613; 99.736; 72308.6; 788.477; 115384.341; 2.625; 9.45; 
    2.00; 1; 725; 4.456; 5.709; 0.612; 99.574; 72191.15; 786.519; 116170.86; 2.634; 9.482; 
    2.02; 1; 725; 4.456; 5.728; 0.611; 99.411; 72072.975; 784.55; 116955.41; 2.642; 9.511; 
    2.03; 1; 725; 4.456; 5.748; 0.61; 99.248; 71954.8; 782.58; 117737.99; 2.651; 9.544; 
    2.05; 1; 725; 4.456; 5.767; 0.609; 99.086; 71837.35; 780.623; 118518.613; 2.66; 9.576; 
    2.07; 1; 725; 4.456; 5.786; 0.609; 99.086; 71837.35; 780.623; 119299.236; 2.669; 9.608; 
    2.08; 1; 725; 4.456; 5.805; 0.608; 98.923; 71719.175; 778.653; 120077.889; 2.677; 9.637; 
    2.10; 1; 725; 4.456; 5.824; 0.607; 98.76; 71601.0; 776.683; 120854.572; 2.686; 9.67; 
    2.12; 1; 725; 4.456; 5.843; 0.606; 98.597; 71482.825; 774.714; 121629.286; 2.695; 9.702; 
    2.13; 1; 725; 4.456; 5.861; 0.606; 98.597; 71482.825; 774.714; 122404.0; 2.703; 9.731; 
    2.15; 1; 725; 4.456; 5.88; 0.605; 98.435; 71365.375; 772.756; 123176.756; 2.712; 9.763; 
    2.17; 1; 725; 4.456; 5.898; 0.604; 98.272; 71247.2; 770.787; 123947.543; 2.72; 9.792; 
    2.18; 1; 725; 4.456; 5.917; 0.603; 98.109; 71129.025; 768.817; 124716.36; 2.729; 9.824; 
    2.20; 1; 725; 4.456; 5.935; 0.603; 98.109; 71129.025; 768.817; 125485.177; 2.737; 9.853; 
    2.22; 1; 725; 4.456; 5.953; 0.602; 97.947; 71011.575; 766.86; 126252.037; 2.745; 9.882; 
    2.23; 1; 725; 4.456; 5.972; 0.601; 97.784; 70893.4; 764.89; 127016.927; 2.754; 9.914; 
    2.25; 1; 725; 4.456; 5.99; 0.6; 97.621; 70775.225; 762.92; 127779.847; 2.762; 9.943; 
    2.27; 1; 725; 4.456; 6.008; 0.6; 97.621; 70775.225; 762.92; 128542.767; 2.77; 9.972; 
    2.28; 1; 725; 4.456; 6.026; 0.599; 97.458; 70657.05; 760.951; 129303.718; 2.778; 10.001; 
    2.30; 1; 725; 4.456; 6.043; 0.598; 97.296; 70539.6; 758.993; 130062.711; 2.787; 10.033; 
    2.32; 1; 725; 4.456; 6.061; 0.598; 97.296; 70539.6; 758.993; 130821.704; 2.795; 10.062; 
    2.33; 1; 725; 4.456; 6.079; 0.597; 97.133; 70421.425; 757.024; 131578.728; 2.803; 10.091; 
    2.35; 1; 725; 4.456; 6.096; 0.596; 96.97; 70303.25; 755.054; 132333.782; 2.811; 10.12; 
    2.37; 1; 725; 4.456; 6.114; 0.595; 96.808; 70185.8; 753.097; 133086.879; 2.819; 10.148; 
    2.38; 1; 725; 4.456; 6.131; 0.595; 96.808; 70185.8; 753.097; 133839.976; 2.827; 10.177; 
    2.40; 1; 725; 4.456; 6.148; 0.594; 96.645; 70067.625; 751.127; 134591.103; 2.835; 10.206; 
    2.42; 1; 725; 4.456; 6.166; 0.593; 96.482; 69949.45; 749.157; 135340.26; 2.843; 10.235; 
    2.43; 1; 725; 4.456; 6.183; 0.593; 96.482; 69949.45; 749.157; 136089.417; 2.85; 10.26; 
    2.45; 1; 725; 4.456; 6.2; 0.592; 96.32; 69832.0; 747.2; 136836.617; 2.858; 10.289; 
    2.47; 1; 725; 4.456; 6.217; 0.591; 96.157; 69713.825; 745.23; 137581.847; 2.866; 10.318; 
    2.48; 1; 725; 4.456; 6.234; 0.591; 96.157; 69713.825; 745.23; 138327.077; 2.874; 10.346; 
    2.50; 1; 725; 4.456; 6.251; 0.59; 95.994; 69595.65; 743.261; 139070.338; 2.881; 10.372; 
    2.52; 1; 725; 4.456; 6.267; 0.59; 95.994; 69595.65; 743.261; 139813.599; 2.889; 10.4; 
    2.53; 1; 725; 4.456; 6.284; 0.589; 95.831; 69477.475; 741.291; 140554.89; 2.897; 10.429; 
    2.55; 1; 725; 4.456; 6.301; 0.588; 95.669; 69360.025; 739.334; 141294.224; 2.904; 10.454; 
    2.57; 1; 725; 4.456; 6.317; 0.588; 95.669; 69360.025; 739.334; 142033.558; 2.912; 10.483; 
    2.58; 1; 725; 4.456; 6.334; 0.587; 95.506; 69241.85; 737.364; 142770.922; 2.92; 10.512; 
    2.60; 1; 725; 4.456; 6.35; 0.586; 95.343; 69123.675; 735.395; 143506.317; 2.927; 10.537; 
    2.62; 1; 725; 4.456; 6.367; 0.586; 95.343; 69123.675; 735.395; 144241.712; 2.935; 10.566; 
    2.63; 1; 725; 4.456; 6.383; 0.585; 95.181; 69006.225; 733.437; 144975.149; 2.942; 10.591; 
    2.65; 1; 725; 4.456; 6.399; 0.584; 95.018; 68888.05; 731.468; 145706.617; 2.949; 10.616; 
    2.67; 1; 725; 4.456; 6.415; 0.584; 95.018; 68888.05; 731.468; 146438.085; 2.957; 10.645; 
    2.68; 1; 725; 4.456; 6.431; 0.583; 94.855; 68769.875; 729.498; 147167.583; 2.964; 10.67; 
    2.70; 1; 725; 4.456; 6.447; 0.583; 94.855; 68769.875; 729.498; 147897.081; 2.971; 10.696; 
    2.72; 1; 725; 4.456; 6.463; 0.582; 94.693; 68652.425; 727.54; 148624.621; 2.979; 10.724; 
    2.73; 1; 725; 4.456; 6.479; 0.581; 94.53; 68534.25; 725.571; 149350.192; 2.986; 10.75; 
    2.75; 1; 725; 4.456; 6.495; 0.581; 94.53; 68534.25; 725.571; 150075.763; 2.993; 10.775; 
    2.77; 1; 725; 4.456; 6.511; 0.58; 94.367; 68416.075; 723.601; 150799.364; 3.0; 10.8; 
    2.78; 1; 725; 4.456; 6.526; 0.58; 94.367; 68416.075; 723.601; 151522.965; 3.008; 10.829; 
    2.80; 1; 725; 4.456; 6.542; 0.579; 94.204; 68297.9; 721.632; 152244.597; 3.015; 10.854; 
    2.82; 1; 725; 4.456; 6.558; 0.578; 94.042; 68180.45; 719.674; 152964.271; 3.022; 10.879; 
    2.83; 1; 725; 4.456; 6.573; 0.578; 94.042; 68180.45; 719.674; 153683.945; 3.029; 10.904; 
    2.85; 1; 725; 4.456; 6.589; 0.577; 93.879; 68062.275; 717.705; 154401.65; 3.036; 10.93; 
    2.87; 1; 725; 4.456; 6.604; 0.577; 93.879; 68062.275; 717.705; 155119.355; 3.043; 10.955; 
    2.88; 1; 725; 4.456; 6.619; 0.576; 93.716; 67944.1; 715.735; 155835.09; 3.05; 10.98; 
    2.90; 1; 725; 4.456; 6.634; 0.576; 93.716; 67944.1; 715.735; 156550.825; 3.057; 11.005; 
    2.92; 1; 725; 4.456; 6.65; 0.575; 93.554; 67826.65; 713.777; 157264.602; 3.064; 11.03; 
    2.93; 1; 725; 4.456; 6.665; 0.575; 93.554; 67826.65; 713.777; 157978.379; 3.071; 11.056; 
    2.95; 1; 725; 4.456; 6.68; 0.574; 93.391; 67708.475; 711.808; 158690.187; 3.078; 11.081; 
    2.97; 1; 725; 4.456; 6.695; 0.573; 93.228; 67590.3; 709.838; 159400.025; 3.085; 11.106; 
    2.98; 1; 725; 4.456; 6.71; 0.573; 93.228; 67590.3; 709.838; 160109.863; 3.092; 11.131; 
    3.00; 1; 725; 4.456; 6.725; 0.572; 93.066; 67472.85; 707.881; 160817.744; 3.099; 11.156; 
    3.02; 1; 725; 4.456; 6.74; 0.572; 93.066; 67472.85; 707.881; 161525.625; 3.105; 11.178; 
    3.03; 1; 725; 4.456; 6.755; 0.571; 92.903; 67354.675; 705.911; 162231.536; 3.112; 11.203; 
    3.05; 1; 725; 4.456; 6.769; 0.571; 92.903; 67354.675; 705.911; 162937.447; 3.119; 11.228; 
    3.07; 1; 725; 4.456; 6.784; 0.57; 92.74; 67236.5; 703.942; 163641.389; 3.126; 11.254; 
    3.08; 1; 725; 4.456; 6.799; 0.57; 92.74; 67236.5; 703.942; 164345.331; 3.132; 11.275; 
    3.10; 1; 725; 4.456; 6.813; 0.569; 92.577; 67118.325; 701.972; 165047.303; 3.139; 11.3; 
    3.12; 1; 725; 4.456; 6.828; 0.569; 92.577; 67118.325; 701.972; 165749.275; 3.146; 11.326; 
    3.13; 1; 725; 4.456; 6.842; 0.568; 92.415; 67000.875; 700.015; 166449.29; 3.152; 11.347; 
    3.15; 1; 725; 4.456; 6.857; 0.568; 92.415; 67000.875; 700.015; 167149.305; 3.159; 11.372; 
    3.17; 1; 725; 4.456; 6.871; 0.567; 92.252; 66882.7; 698.045; 167847.35; 3.166; 11.398; 
    3.18; 1; 725; 4.456; 6.885; 0.567; 92.252; 66882.7; 698.045; 168545.395; 3.172; 11.419; 
    3.20; 1; 725; 4.456; 6.9; 0.566; 92.089; 66764.525; 696.075; 169241.47; 3.179; 11.444; 
    3.22; 1; 725; 4.456; 6.914; 0.566; 92.089; 66764.525; 696.075; 169937.545; 3.185; 11.466; 
    3.23; 1; 725; 4.456; 6.928; 0.565; 91.927; 66647.075; 694.118; 170631.663; 3.192; 11.491; 
    3.25; 1; 725; 4.456; 6.942; 0.565; 91.927; 66647.075; 694.118; 171325.781; 3.198; 11.513; 
    3.27; 1; 725; 4.456; 6.956; 0.564; 91.764; 66528.9; 692.148; 172017.929; 3.205; 11.538; 
    3.28; 1; 725; 4.456; 6.97; 0.564; 91.764; 66528.9; 692.148; 172710.077; 3.211; 11.56; 
    3.30; 1; 725; 4.456; 6.984; 0.563; 91.601; 66410.725; 690.179; 173400.256; 3.217; 11.581; 
    3.32; 1; 725; 4.456; 6.998; 0.563; 91.601; 66410.725; 690.179; 174090.435; 3.224; 11.606; 
    3.33; 1; 725; 4.456; 7.012; 0.562; 91.439; 66293.275; 688.221; 174778.656; 3.23; 11.628; 
    3.35; 1; 725; 4.456; 7.026; 0.562; 91.439; 66293.275; 688.221; 175466.877; 3.237; 11.653; 
    3.37; 1; 725; 4.456; 7.04; 0.561; 91.276; 66175.1; 686.252; 176153.129; 3.243; 11.675; 
    3.38; 1; 725; 4.456; 7.054; 0.561; 91.276; 66175.1; 686.252; 176839.381; 3.249; 11.696; 
    3.40; 1; 725; 4.456; 7.067; 0.56; 91.113; 66056.925; 684.282; 177523.663; 3.256; 11.722; 
    3.42; 1; 725; 4.456; 7.081; 0.56; 91.113; 66056.925; 684.282; 178207.945; 3.262; 11.743; 
    3.43; 1; 725; 4.456; 7.095; 0.559; 90.95; 65938.75; 682.312; 178890.257; 3.268; 11.765; 
    3.45; 1; 725; 4.456; 7.108; 0.559; 90.95; 65938.75; 682.312; 179572.569; 3.274; 11.786; 
    3.47; 1; 725; 4.456; 7.122; 0.558; 90.788; 65821.3; 680.355; 180252.924; 3.28; 11.808; 
    3.48; 1; 725; 4.456; 7.135; 0.558; 90.788; 65821.3; 680.355; 180933.279; 3.287; 11.833; 
    3.50; 1; 725; 4.456; 7.149; 0.557; 90.625; 65703.125; 678.385; 181611.664; 3.293; 11.855; 
    3.52; 1; 725; 4.456; 7.162; 0.557; 90.625; 65703.125; 678.385; 182290.049; 3.299; 11.876; 
    3.53; 1; 725; 4.456; 7.176; 0.556; 90.462; 65584.95; 676.416; 182966.465; 3.305; 11.898; 
    3.55; 1; 725; 4.456; 7.189; 0.556; 90.462; 65584.95; 676.416; 183642.881; 3.311; 11.92; 
    3.57; 1; 725; 4.456; 7.202; 0.555; 90.3; 65467.5; 674.458; 184317.339; 3.317; 11.941; 
    3.58; 1; 725; 4.456; 7.215; 0.555; 90.3; 65467.5; 674.458; 184991.797; 3.323; 11.963; 
    3.60; 1; 725; 4.456; 7.229; 0.555; 90.3; 65467.5; 674.458; 185666.255; 3.329; 11.984; 
    3.62; 1; 725; 4.456; 7.242; 0.554; 90.137; 65349.325; 672.489; 186338.744; 3.335; 12.006; 
    3.63; 1; 725; 4.456; 7.255; 0.554; 90.137; 65349.325; 672.489; 187011.233; 3.341; 12.028; 
    3.65; 1; 725; 4.456; 7.268; 0.553; 89.974; 65231.15; 670.519; 187681.752; 3.347; 12.049; 
    3.67; 1; 725; 4.456; 7.281; 0.553; 89.974; 65231.15; 670.519; 188352.271; 3.353; 12.071; 
    3.68; 1; 725; 4.456; 7.294; 0.552; 89.811; 65112.975; 668.55; 189020.821; 3.359; 12.092; 
    3.70; 1; 725; 4.456; 7.307; 0.552; 89.811; 65112.975; 668.55; 189689.371; 3.365; 12.114; 
    3.72; 1; 725; 4.456; 7.32; 0.551; 89.649; 64995.525; 666.592; 190355.963; 3.371; 12.136; 
    3.73; 1; 725; 4.456; 7.333; 0.551; 89.649; 64995.525; 666.592; 191022.555; 3.377; 12.157; 
    3.75; 1; 725; 4.456; 7.345; 0.551; 89.649; 64995.525; 666.592; 191689.147; 3.383; 12.179; 
    3.77; 1; 725; 4.456; 7.358; 0.55; 89.486; 64877.35; 664.622; 192353.769; 3.389; 12.2; 
    3.78; 1; 725; 4.456; 7.371; 0.55; 89.486; 64877.35; 664.622; 193018.391; 3.395; 12.222; 
    3.80; 1; 725; 4.456; 7.384; 0.549; 89.323; 64759.175; 662.653; 193681.044; 3.4; 12.24; 
    3.82; 1; 725; 4.456; 7.396; 0.549; 89.323; 64759.175; 662.653; 194343.697; 3.406; 12.262; 
